,target,date,US_midi,UK_midi,NL_midi,BE_midi,FR_midi,SP_midi,PT_midi,SU_midi,COL_MIDI
288,712,1966,0,0,0,0,0,0,0,1,0
289,712,1967,0,0,0,0,0,0,0,1,0
290,712,1968,0,0,0,0,0,0,0,1,0
291,712,1969,0,0,0,0,0,0,0,1,0
292,712,1970,0,0,0,0,0,0,0,1,0
293,712,1971,0,0,0,0,0,0,0,1,0
294,712,1972,0,0,0,0,0,0,0,1,0
295,712,1973,0,0,0,0,0,0,0,1,0
296,712,1974,0,0,0,0,0,0,0,1,0
297,712,1975,0,0,0,0,0,0,0,1,0
298,712,1976,0,0,0,0,0,0,0,1,0
299,712,1977,0,0,0,0,0,0,0,1,0
300,712,1978,0,0,0,0,0,0,0,1,0
301,712,1979,0,0,0,0,0,0,0,1,0
302,712,1980,0,0,0,0,0,0,0,1,0
303,712,1981,0,0,0,0,0,0,0,1,0
304,712,1982,0,0,0,0,0,0,0,1,0
305,712,1983,0,0,0,0,0,0,0,1,0
306,712,1984,0,0,0,0,0,0,0,1,0
307,712,1985,0,0,0,0,0,0,0,1,0
308,712,1986,0,0,0,0,0,0,0,1,0
309,712,1987,0,0,0,0,0,0,0,1,0
310,712,1988,0,0,0,0,0,0,0,1,0
311,713,1955,1,0,0,0,0,0,0,0,0
312,713,1958,1,0,0,0,0,0,0,0,0
313,731,1950,1,0,0,0,0,0,0,0,0
314,732,1950,1,0,0,0,0,0,0,0,0
315,740,1953,1,0,0,0,0,0,0,0,0
316,750,1962,1,0,0,0,0,0,0,0,0
317,770,1971,0,1,0,0,0,0,0,0,1
318,770,1980,0,0,0,0,0,0,0,1,0
319,770,1981,0,0,0,0,0,0,0,1,0
320,770,1982,0,0,0,0,0,0,0,1,0
321,770,1983,0,0,0,0,0,0,0,1,0
322,770,1984,0,0,0,0,0,0,0,1,0
323,770,1985,0,0,0,0,0,0,0,1,0
324,770,1986,0,0,0,0,0,0,0,1,0
325,770,1987,0,0,0,0,0,0,0,1,0
326,770,1988,0,0,0,0,0,0,0,1,0
327,800,1946,0,0,0,0,1,0,0,0,1
328,800,1962,1,1,0,0,0,0,0,0,1
329,800,1966,1,0,0,0,0,0,0,0,0
330,800,1967,1,0,0,0,0,0,0,0,0
331,800,1968,1,0,0,0,0,0,0,0,0
332,800,1969,1,0,0,0,0,0,0,0,0
333,800,1970,1,0,0,0,0,0,0,0,0
334,800,1971,1,0,0,0,0,0,0,0,0
335,800,1972,1,0,0,0,0,0,0,0,0
336,800,1973,1,0,0,0,0,0,0,0,0
337,800,1974,1,0,0,0,0,0,0,0,0
338,800,1975,1,0,0,0,0,0,0,0,0
339,800,1976,1,0,0,0,0,0,0,0,0
340,811,1964,1,0,0,0,0,0,0,0,0
341,811,1965,1,0,0,0,0,0,0,0,0
342,811,1966,1,0,0,0,0,0,0,0,0
343,811,1967,1,0,0,0,0,0,0,0,0
344,811,1968,1,0,0,0,0,0,0,0,0
345,811,1969,1,0,0,0,0,0,0,0,0
346,811,1970,1,0,0,0,0,0,0,0,0
347,811,1971,1,0,0,0,0,0,0,0,0
348,811,1972,1,0,0,0,0,0,0,0,0
349,811,1973,1,0,0,0,0,0,0,0,0
350,811,1975,1,0,0,0,0,0,0,0,0
351,812,1946,0,0,0,0,1,0,0,0,1
352,812,1961,1,0,0,0,0,0,0,0,0
353,812,1962,1,0,0,0,0,0,0,0,0
354,812,1964,1,0,0,0,0,0,0,0,0
355,812,1965,1,0,0,0,0,0,0,0,0
356,812,1966,1,0,0,0,0,0,0,0,0
357,812,1967,1,0,0,0,0,0,0,0,0
358,812,1968,1,0,0,0,0,0,0,0,0
359,812,1969,1,0,0,0,0,0,0,0,0
360,812,1970,1,0,0,0,0,0,0,0,0
361,812,1971,1,0,0,0,0,0,0,0,0
362,812,1972,1,0,0,0,0,0,0,0,0
363,812,1973,1,0,0,0,0,0,0,0,0
364,816,1964,1,0,0,0,0,0,0,0,0
365,816,1965,1,0,0,0,0,0,0,0,0
366,816,1966,1,0,0,0,0,0,0,0,0
367,816,1967,1,0,0,0,0,0,0,0,0
368,816,1968,1,0,0,0,0,0,0,0,0
369,816,1969,1,0,0,0,0,0,0,0,0
370,816,1970,1,0,0,0,0,0,0,0,0
371,816,1971,1,0,0,0,0,0,0,0,0
372,816,1972,1,0,0,0,0,0,0,0,0
373,816,1973,1,0,0,0,0,0,0,0,0
374,816,1974,1,0,0,0,0,0,0,0,0
375,816,1975,1,0,0,0,0,0,0,0,0
376,817,1961,1,0,0,0,0,0,0,0,0
377,817,1962,1,0,0,0,0,0,0,0,0
378,817,1963,1,0,0,0,0,0,0,0,0
379,817,1964,1,0,0,0,0,0,0,0,0
380,817,1965,1,0,0,0,0,0,0,0,0
381,817,1966,1,0,0,0,0,0,0,0,0
382,817,1967,1,0,0,0,0,0,0,0,0
383,817,1968,1,0,0,0,0,0,0,0,0
384,817,1969,1,0,0,0,0,0,0,0,0
385,817,1970,1,0,0,0,0,0,0,0,0
386,817,1971,1,0,0,0,0,0,0,0,0
387,817,1972,1,0,0,0,0,0,0,0,0
388,817,1973,1,0,0,0,0,0,0,0,0
389,835,1962,0,1,0,0,0,0,0,0,1
390,835,1963,0,1,0,0,0,0,0,0,1
391,835,1984,0,1,0,0,0,0,0,0,1
392,835,1985,0,1,0,0,0,0,0,0,1
393,835,1986,0,1,0,0,0,0,0,0,1
394,835,1987,0,1,0,0,0,0,0,0,1
395,835,1988,0,1,0,0,0,0,0,0,1
396,840,1951,1,0,0,0,0,0,0,0,0
397,840,1989,1,0,0,0,0,0,0,0,0
398,935,1980,0,1,0,0,1,0,0,0,1
